title,bundle,fanRating,fanRatingCount,Final Album,directory,Shares Elements With,Suggested directory,Suggested title,King Tom,Final song title,Type,album,length,composer,BPM,version,uuid,original_filename
Scotty's Pullover (tennis ball),Patrick & Rivers,4.17,6,None,\1990-1992 Yeastmaster Part 2,,,,2,Scotty's Pullover,Full Song,1990-1992 Yeastmaster Part 2,199,Rivers Cuomo and Patrick Wilson,113,,8aa813ca24b84fd2a1d87a2bf698171a,06 Scotty's Pullover (tennis ball)
You Can't Cope,The Green Years,4.17,6,None,\The Maladroit Years\C.O.R_,,,You Can't Cope,2,You Can't Cope,Voice Memo with Guitar,C.O.R_,193,Rivers Cuomo,118,,94341a4178424f078762a4565305771e,311 You Can't Cope
It's Not the Same As It Was 14 bass & gtr @115 -1,The Pacific Daydream Black Years,4.17,6,,\The Black Album,,,,4,Two Broken Hearts,Full Song,Demos--Previous Versions,204,,115,14,8484457472054589958988efde78ff44,It's Not the Same As It Was 14 bass & gtr @115 -1
Two Broken Hearts (2),The Pacific Daydream Black Years,4.17,6,,\The Black Album,,,,5,Two Broken Hearts,Full Song,Demos--Previous Versions,183,,62,,f6877f87ffa743189f723cc8cd4e6d0d,Two Broken Hearts (2)
Memphis - 2,The Green Years,4.17,3,None,\The Black Room\C.O.R_,Let Me Wash At Your Sink,,Memphis - 2,3.5,Memphis,Full Song,C.O.R_,91,Rivers Cuomo,113,,715b7198fe474807a1c3478164c426d1,081 Memphis 2
Too Good For Me 3 point 2,The Blue-Pinkerton Years,4.16,41,None,\1993-1994 Don Slacks,,,Too Good For Me - v3 point 2,3.5,Too Good For Me,Full Song,"Alone IV\written by rc, tracks by rc\",92,Rivers Cuomo,92,3,5caf654f957c43359c406e51bb214ce7,Too Good For Me 3 point 2
Hulk 5 verse 2 @ 60.5,The Pacific Daydream Black Years,4.16,38,,,,,,5,,Full Song,The Pacific Daydream Years,127,,61,5,e3de1038ca3444b0b660699c7be5645e,Hulk 5 verse 2 @ 60.5
Sing My Blues Away - v14,EWBAITE,4.16,32,None,,,,Sing My Blues Away - v14,4,Sing My Blues Away,Full Song,EWBAITE,177,Rivers Cuomo,104,14,973e0e878e80449f9740ab6520acb93b,Sing My Blues Away 14
Alligator 2 AH @81,The Pacific Daydream Black Years,4.16,29,,,,,,3.5,,Full Song,The Pacific Daydream Years,145,,81,2,2554efdc46c649a9aa399184e58468ff,Alligator 2 AH @81
You Don't Have To Be Perfect For Me 3 @70,The Pacific Daydream Black Years,4.16,29,,,,,,3.5,,Partial Song,Demos--rejects,61,,70,3,46b654ab90dd4415be7cc86f7e7b28b4,You Don't Have To Be Perfect For Me 3 @70
Bender 16 refined @79 -1,The Pacific Daydream Black Years,4.16,19,,,,,,4,,Full Song,The Pacific Daydream Years,213,,79,16,0ddfcf38eb0c4e50ac91247c4bf25e57,Bender 16 refined @79 -1
myBrain-oasis-intro-mp3,The Make Believe Years,4.16,16,,,,,,4.5,,Full Song,The Make Believe Years,211,,108,,626ff40e789f4c2eaa6104e5523d5d3c,myBrain-oasis-intro-mp3
Let's Get Mellow,The Green Years,4.16,16,None,\C.O.R_,,,Let's Get Mellow,3.5,Let's Get Mellow,Full Song,C.O.R_,241,Rivers Cuomo,104,,7a074b78dec1491f881bcbad50290178,162 Let's Get Mellow
Bless The World 3,EWBAITE,4.15,27,None,,,,Bless The World - v3,4,Bless The Whole Wide World,Full Song,EWBAITE,208,,108,,510d82f219454251b0b4d8e4f85080f8,Bless The World 3
Save Me - 2003 Demos 4,The Make Believe Years,4.15,10,None,\2003 Demos-- Office,,,Save Me - 2003 Demos 1,3.5,Save Me,Full Song,2003 Demos-- Office,193,Rivers Cuomo,65,,f26fc6f7a99e44a4bf1db36402e31a2e,01 Save Me
Sports Team - v7,EWBAITE,4.15,10,None,\Demos--Previous Versions,,,Sports Team - v7,2.5,Sports Team,Full Song,Demos--Previous Versions,198,,68,7,1674869af9ac48618437dbc2d23bc127,sports team 7
The Organ Player,The Green Years,4.15,10,None,\The Maladroit Years\C.O.R_,,,The Organ Player,2.5,The Organ Player,Voice Memo with Guitar,C.O.R_,223,Rivers Cuomo,81,,885b236960e84858888c41be058df39f,381 The Organ Player
10 Make Me A Pallet,Pre-Weezer,4.14,22,None,\1991-1992 Weezer,,,,5,Make Me A Pallet,Acoustic,1991-1992 Weezer,117,unknown,84,,bb884dbfa37e46d1aafd571fc0e6ff07,10 Make Me A Pallet
Untitled2_2016_2_26_15_6_31,The Pacific Daydream Black Years,4.17,23,,\Work,,,,,,,Work,663,Rivers Cuomo,70,,cec87edfcd0e4f4483ac55fc9952bbc0,Untitled2_2016_2_26_15_6_31
Fair Weather Friend - v6,EWBAITE,4.14,14,None,\Demos--Previous Versions,,,Fair Weather Friend - v6,4,Fair Weather Friend,Full Song,Demos--Previous Versions,202,,89,6,a275e789c7424e08871d586e17d23fbe,Fair Weather Friend 6
11 Anything 4 You (Take 3),Pre-Weezer,4.14,11,None,\1990 Finishtum Productum,,,,4.5,Anything 4 You,Full Song,1990 Finishtum Productum,141,Rivers Cuomo,89,,ffe80092011f4aa7a5d491cd9d4ffa30,11 Anything 4 You (Take 3)
I Screwed It All Up,The Green Years,4.14,11,None,\C.O.R_,,,I Screwed It All Up,3.5,I Screwed It All Up,Full Song,C.O.R_,117,Rivers Cuomo,108,,0762e607a5db4106803ceb184deee929,164 I Screwed It All Up
Sick Of All The Effort,The Green Years,4.14,7,None,\The Maladroit Years\2 stars and below,,,Sick Of All The Effort,4,Sick of All The Effort,Voice Memo with Guitar,C.O.R_,168,Rivers Cuomo,87,,90a702383d6545d88b0582067ab9ef72,350 Sick Of All The Effort
The Tower Of Babel - v5,EWBAITE,4.14,7,None,\Demos--Previous Versions,,,The Tower Of Babel - v5,4,The Tower of Babel,Full Song,Demos--Previous Versions,206,,79,5,f33136bb15a44501935ee47cdf791f4e,The Tower of Babel 5
Medicine 4,Weezma,4.14,7,None,,Do You Wanna Get High (early chorus melody),,Medicine - v4,2,Medicine,Full Song,Weezma,199,,76,4,b83683b8b7104e3784feb7ca631c85c2,Medicine 4
Stop Comparing Me To Him 2 chorus first @78 -3 BF 11,The Pacific Daydream Black Years,4.14,7,,\The Black Album,,,,2,,Sketch,Demos--Previous Versions,80,,78,2,07757e399a44456c9bf5970c53cab6d1,Stop Comparing Me To Him 2 chorus first @78 -3 BF 11
2017-04-02Untitled8,The Pacific Daydream Black Years,4.13,23,,\Work,,,,,,Voice Memo,Work,9,Rivers Cuomo,113,,bcf9a58562f1454e8921c45954ea6b36,2017-04-02Untitled8
Call The Police 7,Patrick & Rivers,4.13,19,None,,,,Call The Police - v7,3.5,Call The Police,Full Song,Patrick & Rivers,177,rc / pw,65,7,fe63cd6147b54cf093df58df0a626ac8,Call The Police 7
Thief You've Taken All That Was Me,Patrick & Rivers,4.13,19,None,,,,,2.5,Thief You've Taken All That Was me,Full Song,Patrick & Rivers,108,rc / pw,66,,298b64fb21874cd89e9a9f72f114ce95,Thief You've Taken All That Was M
You Make Me Believe In God 7 @122,The White Years,4.13,19,None,,,,You Make Me Believe In God - v7 @ 122,2.5,You Make Believe In God,Full Song,The White Years,102,,61,7,4d594c59e32243b09eeada38ecfad514,You Make Me Believe In God 7 @122
Et Tu Brute - 2004-02-06,The Make Believe Years,4.12,16,None,\2004-02-13 SIR Preproduction - Week 3,Over the Mountain,,Et Tu Brute - 2004-02-06,3,They Are Stupid,Full Song,2004-02-13 SIR Preproduction - Week 3,208,Rivers Cuomo,118,,c211d50c1e4b4873a7074c7684d1f98c,03 526 Et Tu Brute 2004-02-06
The Unofficials - v3,EWBAITE,4.13,15,None,,,,The Unofficials - v3,3,The Unofficials,Full Song,EWBAITE,215,Rivers Cuomo,89,3,fd452a47018443189cc56f97360df660,The Unofficials 3
Why Am I Getting So Upset 11,EWBAITE,4.13,15,None,\2 stars and below,,,Why Am I Getting So Upset - v11,2,Why Am I Getting So Upset,Full Song,Demos--Previous Versions,229,,68,11,a78c116d66f14a39afc6f62852443dcb,Why Am I Getting So Upset 11
The Best Thing In Life 13,EWBAITE,4.12,41,None,\Demos--Previous Versions,,,The Best Thing In Life - v13,5,The Best Thing In Life,Full Song,Demos--Previous Versions,205,,62,13,65a0b4f2903d438886bcfdf30a7f7469,The Best Thing In Life 13
Inspired 10,EWBAITE,4.12,39,None,\Demos--Previous Versions,,,Inspired - v10,4.5,Inspired,Full Song,Demos--Previous Versions,226,,68,10,db7c3c26e0174815858077659fe1613a,Inspired 10
What You Wanna Be 6,EWBAITE,4.12,34,None,\,"Saturday Night, ??????",Unknown Album,What You Wanna Be - v6,4,What You Wanna Be,Full Song,The White Years,171,,100,6,5f2a6a77b87f447db083ef3a1651aa3e,What You Wanna Be 6
Adio,The Green Years,4.12,26,None,\The Maladroit Years\SONG for enrique iglesias,,,Adio,4,Adio,Full Song,SONG for enrique iglesias,208,Rivers Cuomo,113,,d046b674df6d4d70af8d1bfab12cd096,Adio
Simple Fisherman - 2004 Unchained Melody,The Make Believe Years,4.12,26,None,\2004 Unchained Melody,,,Simple Fisherman - 2004 Unchained Melody,4,Time Is Running Out,Full Song,2004 Unchained Melody,232,Rivers Cuomo,93,,047fc5c76ad64ff1ad4d6f4a2a102e1e,07 Simple Fisherman
Guiding Light chorus,The White Years,4.12,25,None,\Rivers Cuomo,,,,3,Guiding Light,Sketch,Rivers Cuomo,70,Rivers Cuomo,65,,4b408b2cd7e7404da6fc074648ec9431,Guiding Light chorus
Fanny Bone - v2,The Green Years,4.12,24,None,\C.O.R_,,,Fanny Bone - v2,4,Fanny Bone,Full Song,C.O.R_,121,Rivers Cuomo,62,,7f93a3983b624ea78ea9dd54a025467c,126 Fanny Bone 2
56 Now you say you wanna leave me,The Green Years,4.12,17,None,\The Black Room\1998-03-11Rivers's Sketch Tape,,,,3,Beautiful Demons,Voice Memo with Guitar,1998-03-11Rivers's Sketch Tape,81,Rivers Cuomo,96,,4f967972c52a43af8201d36f220766f5,56 Now you say you wanna leave me
No Contact - 2004-05-18,The Make Believe Years,4.12,17,None,\2004-05-18 SIR Preproduction MELODIC,Sweetest One of All,,No Contact - 2004-05-18,3,You're The One,Full Song,2004-05-18 SIR Preproduction MELODIC,224,Rivers Cuomo,100,,2893244e29cd4adaa7190be30c475065,06 393 No Contact
Hawaii - v7,The White Years,4.12,16,None,\Rivers Cuomo,,,Hawaii - v7,3,Hawaii,Full Song,Rivers Cuomo,215,Rivers Cuomo,87,7,33da4d3ac74a472e8e17674d5c69b794,Hawaii 7
You've Got To Let Go Of Me - 2003 Demos,The Make Believe Years,4.12,13,None,\2003 Demos-- Weezer Office,,,You've Got To Let Go Of Me - 2003 Demos,3.5,You've Got To Let Go Of Me,Full Song,2003 Demos-- Weezer Office,112,Rivers Cuomo,96,,7f6ddc29f447447e89aa0003374791be,05 You've Got to let Go of Me
Fair Weather Friends - v5,EWBAITE,4.12,4,None,\2 stars and below,,,Fair Weather Friends - v5,3.5,Fair Weather Friend,Full Song,Demos--Previous Versions,202,,89,5,1ae4b37a92614f558c2417cf16a4790a,Fair Weather Friends 5
Up Yours,The Green Years,4.12,4,None,\The Maladroit Years\C.O.R_,Suddenly I Shot My Mouth,,Up Yours,3.5,Up Yours,Full Song,C.O.R_,210,Rivers Cuomo,93,,b410950a119448a28e4d37012b79383e,358 Up Yours
Why Won't You Love Me - v5 same chord,The White Years,4.12,4,,\Rivers Cuomo,,,Why Won't You Love Me - v5 same chord,3.5,Why Won't You Love Me,Full Song,Rivers Cuomo,125,Rivers Cuomo,120,5,693e2fec0ebe491296fd29910f114ddd,Why Won't You Love Me 5 same chord
crazy pulloff riff 2,EWBAITE,4.12,4,None,\2 stars and below,,,,1.5,,Sketch,Unknown Album,170,Rivers Cuomo,100,2,2903e126ec374e169e45d4840c8329eb,crazy pulloff riff 2
Two Broken Hearts 11 bein drums @132 -5,The Pacific Daydream Black Years,4.12,4,,\The Black Album,,,,4.5,Two Broken Hearts,Full Song,Demos--Previous Versions,183,,66,11,e06faf48c9b84d3aa0052e3c655abe51,Two Broken Hearts 11 bein drums @132 -5
"I See You, Feel You - 2003-03-5",The Make Believe Years,4.11,19,None,\C.O.R_,Lover Lover,,"I See You, Feel You - 2003-03-5",4,"I See You, Feel You",Full Song,C.O.R_,219,Rivers Cuomo,100,,8f254c2cbe1241899aa8f4e8d4190bb8,"2003-03-05 I see you, feel you"
Over The Mountain - 2004 Unchained Melody,The Make Believe Years,4.11,19,None,\2004 Unchained Melody,Et Tu Brute,,Over The Mountain - 2004 Unchained Melody,4,They Are Stupid,Full Song,2004 Unchained Melody,209,Rivers Cuomo,120,,e56d975187694faa99bdc35f34be91ee,04 Over The Mountain
Friday Feeling 16 half choruses @104,The Pacific Daydream Black Years,4.11,18,,,Medicine for Melancholy; Pacific Coast Highway in the Movies,,,5,Medicine for Melancholy,Full Song,The Pacific Daydream Years,198,,104,16,15a42783de7b4d408f798b2f3bb4fc98,Friday Feeling 16 half choruses @104
Last Chance - 2004-07-20,The Make Believe Years,4.03,15,None,\2004-07-20 SIR Demos,"Purple Flowers, Always Forever",,Last Chance - 2004-07-20,4.5,Last Chance,Full Song,2004-07-20 SIR Demos,234,Rivers Cuomo,100,,5fe5f0b5e6774d98aa9921375d6952f0,09 Last Chance
Simple To Me - v7,EWBAITE,4.11,14,None,\Demos--Previous Versions,,,Simple To Me - v7,3.5,Simple to Me,Full Song,Demos--Previous Versions,227,,100,7,bad965b6d59b48bca4d2341b59f51792,Simple To Me 7
The Ivory Telephone - v4,EWBAITE,4.11,9,None,\Demos--Previous Versions,,,The Ivory Telephone - v4,4,The Ivory Telephone,Full Song,Demos--Previous Versions,202,,65,4,3d0373a59ad1496fb3d87853cd49338a,The Ivory Telephone 4
Empty Inside - v9,EWBAITE,4.11,9,None,\Demos--Previous Versions,,,Empty Inside - v9,3,Empty Inside,Full Song,Demos--Previous Versions,228,,65,9,66f8a34a74da48b6a375ab132b1148fe,Empty Inside 9
Exonerate Me - v5,EWBAITE,4.11,9,None,\Demos--Previous Versions,,,Exonerate Me - v5,3,Exonerate Me,Full Song,Demos--Previous Versions,189,,62,5,5f721cbe93bf4d44970d51dcdbd6f4fc,Exonerate Me 5
Lover Lover,The Make Believe Years,3.9,10,None,\Unknown Album,"I See You, Feel You",,Lover Lover,2,Lover Lover,"Full Song, Acoustic",Unknown Album,252,,87,,00f2b3c1acc24209be7915b19c7a2164,424 Lover Lover
"Beethoven Sonata No. 2 in A Minor, 3. Scherzo 4. Grazioso and Beethoven Sonata No. 3 in C Major, 1. Allegro (exposition)-03",Piano,4.11,9,,,,,,,,,Piano,2980,,113,,32b511d762854d5e8aafc3caba8fbbb9,"Beethoven Sonata No. 2 in A Minor, 3. Scherzo 4. Grazioso and Beethoven Sonata No. 3 in C Major, 1. Allegro (exposition)-03"
Bless The Whole World,EWBAITE,4.1,24,None,\Demos--Previous Versions,,,Bless The Whole World,2.5,Bless the Whole Wide World,Full Song,Demos--Previous Versions,230,,100,,d04a59b79b944d3c96587b893ec65962,Bless The Whole World
Hawaii - v6,The White Years,4.1,21,None,\Rivers Cuomo,,,Hawaii - v6,5,Hawaii,Full Song,Rivers Cuomo,176,Rivers Cuomo,118,6,6aa6763b7c8d474b993cec5b033580f0,Hawaii 6
St. George - v8,EWBAITE,4.1,20,None,\Demos--Previous Versions,Hippies (verse melody),,St. George - v8,4,The Ballad of St. George,Full Song,Demos--Previous Versions,190,,65,8,5e37c6d224a14ba1841c7a91d08d7ae4,St. George 8
She's Just A Girl - v4 @130,The White Years,4.1,20,,\Rivers Cuomo,,,,,,,Rivers Cuomo,149,Rivers Cuomo,65,4,553b3fe7b6f74bceb83999ddc4626612,she's just a girl 4 @130
Beethoven Sonata No. 28 in A Major 2022-10-19,Piano,4.1,20,,,,,,,,,Piano,4240,,118,,2b719864820f48a38682027cef872476,Beethoven Sonata No. 28 in A Major 2022-10-19
The Rules Of Life - v22,EWBAITE,4.1,10,None,\Demos--Previous Versions,,,The Rules Of Life - v22,4,The Rules of Life,Full Song,Demos--Previous Versions,198,,104,22,ed142faeb83a41bbbe240b784071402c,The Rules of Life 22
Exonerate Me - v4,EWBAITE,4.1,10,None,\Demos--Previous Versions,,,Exonerate Me - v4,3,Exonerate Me,Full Song,Demos--Previous Versions,189,,62,4,5705824ee85e4078a4982f55060fd0b0,Exonerate Me 4
The Best of Me - v8,EWBAITE,4.1,10,None,\Demos--Previous Versions,,,The Best of Me - v8,3,The Best of Me,Full Song,Demos--Previous Versions,210,,72,,5cf8d86ce0424e25a4ce76340287de81,The Best of Me 8
The Rules Of Life - v15,EWBAITE,4.1,5,None,\Demos--Previous Versions,,,The Rules Of Life - v15,4.5,The Rules of Life,Full Song,Demos--Previous Versions,183,,104,15,b063c599e84f4356a702aee9db3bfae2,The Rules of Life 15
We Gotta Get Paid,EWBAITE,4.1,5,None,,,,We Gotta Get Paid - v1,3.5,We Gotta Get Paid,Full Song,EWBAITE,173,,62,,3232530a5c5e41da8debd8384c6aff50,We Gotta Get Paid
Buttafucco 374,The Green Years,4.1,5,None,\The Maladroit Years\C.O.R_,,,Buttafucco,2.5,Buttafucco,Voice Memo with Guitar,C.O.R_,121,Rivers Cuomo,81,,d725d1174aff4bbda0a5d69d8300a478,374 Buttafucco
Medicine 8,Weezma,4.1,5,None,,Do You Wanna Get High (early chorus melody),,Medicine - v8,2.5,Medicine,Full Song,Weezma,196,Ryen Slegr/Rivers Cuomo,77,8,0782578de21d476d8f7e658c83b2fe97,medicine 8
Pissing In The Wind - v5,EWBAITE,4.1,5,None,\2 stars and below,,,Pissing In The Wind - v5,2.5,Pissing In The Wind,Full Song,EWBAITE,203,,72,,361c9822784e4ffdb111659d6f8ec98d,Pissing in the Wind 5
A Heart Full Of Love - guitar sketch,EWBAITE,4.1,5,None,\2 stars and below,,,A Heart Full Of Love - guitar sketch,1.5,No Bars,Sketch,voice notes,84,Rivers Cuomo,81,,af3f1b83a86d4c39a4fbed444792dcc3,A Heart Full Of Love
Almost Beautiful 20 pre @130 +2,The Pacific Daydream Black Years,4.1,5,,\The Black Album,,,,3.5,,Partial Song,Demos--Previous Versions,208,,65,20,0404fb3c491e42598d8d9b684b82b360,Almost Beautiful 20 pre @130 +2
My Folks,The Red-Raditude-Hurley Years,4.09,22,None,\2007-06-21 Demos for Weezer album 6,,,,5,My Folks,Full Song,2007-06-21 Demos for Weezer album 6,240,Rivers Cuomo,108,,4f9a2138854147f586e95caaa02546ec,My Folks
Expatriates In Paris 6,Weezma,4.09,11,None,,,,Expatriates In Paris - v6,4,Expatriates In Paris,Full Song,Weezma,229,,65,6,fe4cecbd5aef405794eb5156bb82e08e,Expatriates In Paris 6
Your Right Man,The Green Years,4.09,11,None,\The Maladroit Years\C.O.R_,,,Your Right Man,4,Your Right Man,Voice Memo With Guitar,C.O.R_,127,Rivers Cuomo,62,,d5720769cd384b6dbc5cfcf5f22c37ad,329 Your Right Man
Lullaby For Wayne,Patrick & Rivers,4.09,11,None,\1992-1993 Monterey Jack,,,,3,Lullaby For Wayne,Full Song,1992-1993 Monterey Jack,197,Rivers Cuomo and Patrick Wilson,81,,0703bd5748094fb8b8ab46f3c7188526,17 Lullaby For Wayne
dictadroid1_2014_6_28_19_54_42,EWBAITE,4.09,11,None,\2 stars and below,,,Voice Memo on the evolution of Weezer - 2014-6-28,1,,Voice Memo,EWBAITE,114,,108,,2eba3f88eee64fcd94539bb8369ee8e7,dictadroid1_2014_6_28_19_54_42
Where Do All The Kids Hang Out 5 in B @85,The Pacific Daydream Black Years,4.08,25,,,,,,4,,Partial Song,The Pacific Daydream Years,86,,85,5,8da78900fe3d436f8bfa9a6b05404417,Where Do All The Kids Hang Out 5 in B @85
16 Two to Tango,Pre-Weezer,4.08,20,None,\1990-1992 Yeastmaster Part 2,,,Two to Tango,3.5,,Full Song,1990-1992 Yeastmaster Part 2,147,Rivers Cuomo,104,,65609d0b19784d4680440860a84037cb,16 Two to Tango
Friday Feeling 6 thinned verse @102,The Pacific Daydream Black Years,4.08,18,,,Medicine for Melancholy,,,4.5,Medicine for Melancholy,Full Song,The Pacific Daydream Years,239,,102,6,d4433e57e0fb439e88d0f330efeb02ce,Friday Feeling 6 thinned verse @102
What The Hell 1,Weezma,4.08,13,None,,,,What The Hell - v1,3,What The Hell,Full Song,Weezma,202,,96,1,47ba549ad9414690ad7e24da4563df59,What The Hell 1
You Want To Be A Woman - 2003 Demos,The Make Believe Years,4.08,13,None,\2003 Demos-- Weezer Office,,,You Want To Be A Woman - 2003 Demos,3,You Want To Be A Woman,Full Song,2003 Demos-- Weezer Office,147,Rivers Cuomo,113,,97351079b752487ea2512d41e2069fb1,01 You Want To Be A Woman
Guiding Light 5 verse @131 -1,The Pacific Daydream Black Years,4.08,12,,\Space Between,,,,,,,Demos--Previous Versions,128,,66,5,96e77c7f2d7844528c7bd3ca81509572,Guiding Light 5 verse @131 -1
The Rules Of Life - v5,EWBAITE,4.08,12,None,\Demos--Previous Versions,,,The Rules Of Life - v5,4,The Rules of Life,Full Song,Demos--Previous Versions,187,,104,5,73a6b00b334845048f2f3822701ee62f,The Rules of Life 5
"Beethoven Sonata No. 24 in F-sharp Major, 1. Adagio and Beethoven Sonata No. 25 in G Major, 3. Vivace 2022-10-13",Piano,4.08,13,,,,,,,,,Piano,2416,,96,,183479c957de48719574a8f8af7c30bc,"Beethoven Sonata No. 24 in F-sharp Major, 1. Adagio and Beethoven Sonata No. 25 in G Major, 3. Vivace 2022-10-13"
Meet Up With Our Maker - v7,EWBAITE,4.08,6,None,\Demos--Previous Versions,,,Meet Up With Our Maker - v7,4.5,Meet Up With Our Maker,Full Song,Demos--Previous Versions,255,,113,7,a12bb98b6db247e4936d78f56b54db62,Meet Up With Our Maker 7
Meet Up With Our Maker - v4,EWBAITE,4.08,6,None,\Demos--Previous Versions,,,Meet Up With Our Maker - v4,3.5,Meet Up With Our Maker,Full Song,Demos--Previous Versions,227,,113,4,38d2762eedce418fb8cfe0326f54db36,Meet Up With Our Maker 4
The Best of Me - v14 crazy str,EWBAITE,4.08,6,None,\Demos--Previous Versions,,,The Best of Me - v14 crazy str,2.5,The Best of Me,Full Song,Demos--Previous Versions,166,,76,14,065ee4b22aec4568ba899bebef516a30,The Best of Me 14 crazy str
Well It's A New Day - 2,The Green Years,4.08,6,None,\C.O.R_,,,Well It's A New Day - 2,2.5,Well It's A New Day,Full Song,C.O.R_,108,Rivers Cuomo,93,,ebb9f8448f04435981a0aea643b62150,147 Well It's A New Day 2
Almost Beautiful 23 cha cha @137 +2,The Pacific Daydream Black Years,4.08,6,,\The Black Album,,,,3.5,,Full Song,Demos--Previous Versions,196,,69,23,da9abcb6f64f41849d5dac3fb98ff639,Almost Beautiful 23 cha cha @137 +2
If It's Only In Your Head 15 new lyrics @160 +2,The Pacific Daydream Black Years,4.08,6,,\The Black Album,Second Best Hugger in the World,,,3.5,,Full Song,Demos--Previous Versions,201,,80,15,90ddc69c1bd24d9488797cc76d0a478a,If It's Only In Your Head 15 new lyrics @160 +2
The Best of Me 15 normal,EWBAITE,4.07,35,None,,,,The Best of Me - v15,3.5,The Best of Me,Full Song,"Alone IV\written by rc, tracks by rc\",179,Rivers Cuomo,77,15,57aa9017416948cdbd81b26d943d154d,The Best of Me 15 normal
I Won't Let You Down 8,EWBAITE,4.07,30,None,,I Won't Flake On You,,I Won't Let You Down - v8,4,I Won't Let You Down,Full Song,EWBAITE,162,,62,8,1e0664b189664ee4970efddeec5f3698,I Won't Let You Down 8
Stand Up (Minor Outstanding) - 2004-06-04,The Make Believe Years,4.07,27,None,\2004-06-04 SIR Prepro,Break Me,,Stand Up (Minor Outstanding) - 2004-06-04,4,Stand Up,Full Song,2004-06-04 SIR Prepro,244,Rivers Cuomo,100,,16a53b54f35543ed8959a6e5af2b8ad9,08 556 Stand Up (Minor_ outstanding
Bone On Bone 5,EWBAITE,4.07,21,None,\Demos--Previous Versions,,,Bone On Bone - v5,2.5,Bone On Bone,Full Song,Demos--Previous Versions,208,Rivers Cuomo,108,5,36e04868c4ff4c43aab72842098a34f9,Bone On Bone 5
You'll Never Break Me - 2004-04-23,The Make Believe Years,4.07,15,None,\2004-04-23 SIR Preproduction,,,You'll Never Break Me - 2004-04-23,5,You'll Never Break Me,Full Song,2004-04-23 SIR Preproduction,195,Rivers Cuomo,100,,e92119bdb6274ffb9b5daa5cd536feb4,06 556 You'll Never Break Me
Friday Feeling 14 I ii I V verse @104,The Pacific Daydream Black Years,4.07,15,,,Medicine for Melancholy,,,4,Medicine for Melancholy,Partial Song,The Pacific Daydream Years,101,,104,14,bc3fc5cac28e4230b4ffda5607bbcafe,Friday Feeling 14 I ii I V verse @104
The Best of Me - v9,EWBAITE,4.07,15,None,\Demos--Previous Versions,,,The Best of Me - v9,4,The Best of Me,Full Song,Demos--Previous Versions,188,,76,9,9395f0df4f1742eab302a9a396928fd6,The Best of Me 9
"Beethoven Sonata No. 10 in G Major, 2. Andante 3. Scherzo-18",Piano,4.07,15,,,,,,,,,Piano,2012,,100,,bc3d2518d4da4525ba84fea4f65000cd,"Beethoven Sonata No. 10 in G Major, 2. Andante 3. Scherzo-18"
You Were Right here All Along 4,EWBAITE,4.07,14,None,\2 stars and below,,,,2,,Full Song,EWBAITE,210,,65,4,521127b2ba2a406a9f62579004f16da8,You Were Right here All Along 4
Fair Weather Friend - v7,EWBAITE,4.07,7,None,\Demos--Previous Versions,,,Fair Weather Friend - v7,3.5,Fair Weather Friend,Full Song,Demos--Previous Versions,196,,89,7,a6389474911c48e091ab7d462ff10f98,Fair Weather Friend 7
Such A Long Way To Heaven 11,EWBAITE,4.07,7,None,\2 stars and below,Long Way To Heaven,,Such A Long Way To Heaven - v11,2.5,Such A Long Way To Heaven,Full Song,Demos--Previous Versions,217,,65,,5a80d4b9010549eaa6aacf06642e8e2a,Such A Long Way To Heaven 11
The Gift Of Gab - v10,EWBAITE,4.07,7,None,\Demos--Previous Versions,,,The Gift Of Gab - v10,2.5,The Gift Of Gab,Full Song,Demos--Previous Versions,180,,118,10,2ef221d4f15a4a028981748bfe5366d6,The Gift Of Gab 10
The Tower Of Babel - v7 1,EWBAITE,4.06,31,None,\Demos--Previous Versions,,Duplicate,The Tower Of Babel - v7 1,,The Tower of Babel,Full Song,Demos--Previous Versions,205,,81,7,7e87b0d9686740fa8e09709a394bbb81,The Tower of Babel 7 1
You Got Me,The Green Years,4.06,18,None,\The Black Room\C.O.R_,,,You Got Me,4,You Got Me,Full Song,C.O.R_,170,Rivers Cuomo,65,,798e7e1207e64e158ef4d33e736405d6,119 You Got Me
Where Is My Protector - Rough 2 Instrumental Nov 10,EWBAITE,4.06,17,None,\2 stars and below,,,Where Is My Protector - Rough 2 Instrumental Nov 10,2,Where Is My Protector,Instrumental,Demos--Previous Versions,238,,65,,c0d19b454b91481cbcfc9a216bc3fe9a,- WHERE IS MY PROTECTOR - ROUGH 2(novcl) - NOV 10
"Beethoven Sonata No. 3 in C Major, 3. Scherzo 4. Allegro and Beethoven Sonata No. 4 in E-flat Major, 1. Allegro-05",Piano,4.06,17,,,,,,,,,Piano,3309,,65,,1f9eae0ae9cb4d56bfbf513f1add2e34,"Beethoven Sonata No. 3 in C Major, 3. Scherzo 4. Allegro and Beethoven Sonata No. 4 in E-flat Major, 1. Allegro-05"
I Wanna Be With You - 2004-02-02,The Make Believe Years,4.06,16,None,\2004-02-13 SIR Preproduction - Week 3,,,I Wanna Be With You - 2004-02-02,5,I Wanna Be With You,Full Song,2004-02-13 SIR Preproduction - Week 3,261,Rivers Cuomo,72,,a7fd10b865e34261befe6864c5209c01,07 500 I Wanna Be With You 2004-02-0
