title,bundle,fanRating
Why Oh Why - 2004-07-05,The Make Believe Years,4.32
14 Run Over By A Truck 2,The Red-Raditude-Hurley Years,4.32
Cold and Damp (2008 edit V3 RI3 V4 C,The Green Years,4.32
Bedroom Eyes 5 8ths @123,The Pacific Daydream Black Years,4.32
Break Me - 2004 Unchained Melody,The Make Believe Years,4.32
Turn Me Around (Take 3),The Green Years,4.32
Gravity - v4,EWBAITE,4.32
You're the One That Turns Me On,The Make Believe Years,4.32
The Rules Of Life - v35 Adolf,EWBAITE,4.31
Sweet Love v01 DB 2,The Red-Raditude-Hurley Years,4.31
The Spider,The Red-Raditude-Hurley Years,4.31
Any Friend of Diane's 12 short verse dirty hands @90,The Pacific Daydream Black Years,4.31
C'mon Siobahn - 117,The Green Years,4.31
Sing My Blues Away - v6,EWBAITE,4.31
Private Message,The Green Years,4.31
Why Can't You Be There,Patrick & Rivers,4.31
Et Tu Brute - 2004-02-20,The Make Believe Years,4.31
Lost And Found 7,Weezma,4.31
President Of The United Flakes of Am,Patrick & Rivers,4.31
"Special (Diamond Rings, All My Life I Knew That)",The Red-Raditude-Hurley Years,4.31
Superstars 31,Weezma,4.31
The Rules Of Life - v16,EWBAITE,4.31
You And Me Together 2013,EWBAITE,4.3
Attention Deficit Disorder 3,EWBAITE,4.3
It Holds Me Together 2,The Blue-Pinkerton Years,4.3
American Girls - Spanky McNally,The Blue-Pinkerton Years,4.3
Softies (2008 edit),The Red-Raditude-Hurley Years,4.3
Clarinet Waltz - SFTV,The Blue-Pinkerton Years,4.3
I Can't Forget the Way 2,Pre-Weezer,4.3
Too Good For Me - Monterey Jack,The Blue-Pinkerton Years,4.3
"Thief, You've Taken All That Was Me",Patrick & Rivers,4.3
Empty Nest - v7,EWBAITE,4.3
You'Re The Victim Of,The Green Years,4.3
"Beethoven Sonata No. 16 in G Major, 2 Adagio 3. Rondo 2022-09-30",Piano,4.3
Get What You Want,The Green Years,4.3
Lonely Man - busy chorus,The Red-Raditude-Hurley Years,4.3
The Best Of Me - v2,EWBAITE,4.3
The British Are Coming - v38,EWBAITE,4.3
East Coast or West Coast - West VocMu,EWBAITE,4.3
President Of The United Flakes,Patrick & Rivers,4.3
They Are Stupid (gtr intro) (23828),The Make Believe Years,4.3
Weezer - Clarinet Waltz - varispeed 2,The Blue-Pinkerton Years,4.29
Beverly Hills - 2004-07-20,The Make Believe Years,4.29
06 Undone,Pre-Weezer,4.29
Heart Of Hearts 8 @129 vocals,The White Years,4.29
The New Girl,EWBAITE,4.29
my brain mix4,The Make Believe Years,4.29
Troublemaker,The Red-Raditude-Hurley Years,4.29
Attention Deficit Disorder - 2003 Demos,The Make Believe Years,4.29
Sing My Blues Away - v13 1,EWBAITE,4.29
Pacific Sunset 8 solo sketch,The White Years,4.29
Beethoven Sonata No. 11 in B-flat Major-20,Piano,4.29
The Sweetest One Of All - 2004-02-20 3,The Make Believe Years,4.29
Prodigy Lover,The Green Years,4.29
Sweet Love v02 DB,The Red-Raditude-Hurley Years,4.29
My Brain Is Working Overtime (Gtr And Vox) - 2004-02-20,The Make Believe Years,4.29
The Rules of Life for vso,EWBAITE,4.29
A Few Screws Lucy 2 fire bridge @111 +1 BD Sitek,The Pacific Daydream Black Years,4.29
Binoculars 5,EWBAITE,4.28
It's Been So Long 4,EWBAITE,4.28
I Can't Find The Words - v10 phrases,The White Years,4.28
04 I Don't Wanna Let You Go,The Red-Raditude-Hurley Years,4.28
"Always, Forever - 2004-02-20",The Make Believe Years,4.28
Fake Smiles And Nervous Laughter JS2 rough,The White Years,4.28
Listen To Your Heart,The Blue-Pinkerton Years,4.28
Second Best Hugger In The World 11,EWBAITE,4.28
Anonymous - v25,EWBAITE,4.28
Superfan 18 1,Weezma,4.28
Good Times 1998-03,The Green Years,4.28
pretty great piano melody,EWBAITE,4.28
The Good News Channel - v5,EWBAITE,4.28
Fall Together - v2 alt riff,The Green Years,4.28
East Coast Vs. West Coast,The Red-Raditude-Hurley Years,4.27
Untitled2,The Pacific Daydream Black Years,4.27
The Rules Of Life - v31 - vS,EWBAITE,4.27
Robinson's May 057,The Green Years,4.27
Socialite,The Green Years,4.27
Subjective 4,Weezma,4.27
I Want You 001,The Green Years,4.27
Cold and Damp (edit 2 reinsert solo,The Green Years,4.27
It's A Game,The Green Years,4.27
Save Me - 2003 Demos 4,The Make Believe Years,4.27
Johnny Clash 7 bridge vox @180,The White Years,4.26
QB Blitz 13 @102,The Pacific Daydream Black Years,4.26
Second Best Hugger In The World - v13 cleaned @160 +3,EWBAITE,4.26
The Rules Of Life - v21 - vPres,EWBAITE,4.26
A Love In Me,The Green Years,4.26
You're the One - 2004-07-20,The Make Believe Years,4.26
13 Respect,The Red-Raditude-Hurley Years,4.26
Show Me Who You Are (8th Melo) - 2004-05-18,The Make Believe Years,4.26
Weezer - Clarinet Waltz - varispeed,The Blue-Pinkerton Years,4.25
Such A Long Way To Heaven 12,EWBAITE,4.25
Empty Nest - v8,EWBAITE,4.25
Do You Want To Get High - v9 jake,The White Years,4.25
We're Gonna Get Paid 4,EWBAITE,4.25
Gravity's Gon' Bring You Down - v5,EWBAITE,4.25
The Sweetest One Of All - 2004-02-20 3,The Make Believe Years,4.25
I Don't Need You - 2004-02-20,The Make Believe Years,4.25
Greyhound - 2,The Green Years,4.25
She Has A Way With Words - v8,The White Years,4.25
Sunshine 004,The Green Years,4.25
Cleopatra - v27,EWBAITE,4.25
Prettiest Girl In the Whole Wide World (PW Remix),Patrick & Rivers,4.25
Strangling My Nook,The Green Years,4.25
"Beethoven Sonata No. 6 in F Major, 1. Allegro-10",Piano,4.25
Sing My Blues Away - v10,EWBAITE,4.25
The Rules Of Life - v12,EWBAITE,4.25
Indian Snowflake 4,Weezma,4.25
Chasm,Patrick & Rivers,4.25
Little Do They Know 1 SB @84 -5,The Pacific Daydream Black Years,4.25
Wool Cap 364,The Green Years,4.25
"Beethoven Sonata No. 27 in E Minor, 2. Nicht zu geschwind 2022-10-18",Piano,4.25
The British Are Coming - v12,EWBAITE,4.25
Cleopatra - v15,EWBAITE,4.25
Cleopatra - v33,EWBAITE,4.25
Sixth Xmas - 2,The Green Years,4.25
The British Are Coming - v5,EWBAITE,4.25
I Wish I Could Autotune My Face - v4,EWBAITE,4.25
Time Is Running Out - 2004-06-04 Instrumental,The Make Believe Years,4.25
Broken Arrows - v3,The Green Years,4.25
The Waste Land - v2,EWBAITE,4.25
dictadroid6_2018_5_25_13_26_5,The Pacific Daydream Black Years,4.25
It's Not the Same As It Was 16 tweaks @117 -1,The Pacific Daydream Black Years,4.25
Piece of Cake 22 tag @83 +0,The Pacific Daydream Black Years,4.25
Hot Tub - Don Slacks,The Blue-Pinkerton Years,4.24
Sing My Blues Away DB 2,EWBAITE,4.24
Binoculars 4,EWBAITE,4.24
QB Blitz 5 lyric tweaks @98,The Pacific Daydream Black Years,4.24
2017-04-02Untitled9,The Pacific Daydream Black Years,4.24
Can't Find You 3,The White Years,4.24
I Don't Want To Let You Go TP-ALTmm1,The Red-Raditude-Hurley Years,4.24
El Presidente 6,Patrick & Rivers,4.24
She Makes Me Laugh - v3 @67 verses,The White Years,4.24
Make Some Noise For That 4 verse @64,The Pacific Daydream Black Years,4.23
Little Do They Know 2 piano @88 -5,The Pacific Daydream Black Years,4.23
Simple To Me - v5,EWBAITE,4.23
why can't you be there 3,Patrick & Rivers,4.23
Why Am I Getting So Upset 8 og,EWBAITE,4.23
You're Prettier Than You Think You Are,The White Years,4.23
Bach in E-flat Minor BWV 853 and Bach. No 8 in D-sharp Minor BWV 877 and Bach in E-Minor BWV 938 2022-08-21,Piano,4.23
Ain't Got Nobody - v24,EWBAITE,4.23
Bonfire 005,The Green Years,4.23
Stay,The Green Years,4.23
QB Blitz 8 weezer @101,The Pacific Daydream Black Years,4.22
Where Do All The Kids Hang Out 6 chorus fix @85,The Pacific Daydream Black Years,4.22
QB Blitz 4 verse @98,The Pacific Daydream Black Years,4.22
2004-08-15 Sappy Sweet,The Make Believe Years,4.22
You're Prettier Than You Think - v4,The White Years,4.22
I Don't Wanna Let You Go (bridge),The Red-Raditude-Hurley Years,4.22
The British Are Coming - v18,EWBAITE,4.22
Cheap Love (snippets) C-1,The Green Years,4.22
The Rules Of Life - v45,EWBAITE,4.22
Wagamama 5,EWBAITE,4.21
01 Colmusheen,Pre-Weezer,4.21
The Best Things In Life Are Free 1,EWBAITE,4.21
Spirit Animal,The White Years,4.21
I Can't Find The Words 9 bridge @1,The White Years,4.21
Get Me Mine - acoustic demo,The Red-Raditude-Hurley Years,4.21
I Can't Break Your Heart Slow - SFTV,The Blue-Pinkerton Years,4.21
All I Need To Know - 2004-02-13,The Make Believe Years,4.21
Sing My Blues Away - v13,EWBAITE,4.21
Sweet Love 3,The Red-Raditude-Hurley Years,4.21
The Rules Of Life 9,EWBAITE,4.21
Codependent - v9,EWBAITE,4.21
Don't Mess With My Girl - v2,EWBAITE,4.21
The Rules Of Life - v33,EWBAITE,4.21
It's Not the Same As It Was 9 libs @118 -1,The Pacific Daydream Black Years,4.21
You're My Best Friend - 2004-04-23,The Make Believe Years,4.2
Movie Theater - 2,The Green Years,4.2
Over The Mountain (Slower And Dist Verse) - 2004-04-23,The Make Believe Years,4.2
Run Over By A Truck (2008 edit),The Red-Raditude-Hurley Years,4.2
You're Holding Me Back - 2004-07-20,The Make Believe Years,4.2
"Beethoven Sonata No. 4 in E-flat Major, 3. Allegro_ Trio 4. Rondo_ Allegretto-07_",Piano,4.2
Over The Mountain - 2004-05-18,The Make Believe Years,4.2
Empty Inside - v10 1,EWBAITE,4.2
Meet Up With Our Maker - v8,EWBAITE,4.2
Respect (2007 Version),The Red-Raditude-Hurley Years,4.2
My Brain - cbmix3 (16370),The Red-Raditude-Hurley Years,4.2
"Beethoven Sonata No. 13 in E-flat Major, 2. Allegro 2022-07-24",Piano,4.2
"Beethoven Sonata No. 27 in E Minor, 1. Mit Lebhaftigkeit 2022-10-17",Piano,4.2
The British Are Coming - v44 Band,EWBAITE,4.2
Indian Snowflake 3,Weezma,4.2
74 I'm So Glad I Got a Girl To Think Of,The Green Years,4.2
Lost And Found 8,Weezma,4.2
Our Day Will Come (Acoustic),The Red-Raditude-Hurley Years,4.2
Rock And Roll Star,The Green Years,4.2
Second Best Hugger In The World - v6,EWBAITE,4.2
Shining Star 11,Weezma,4.2
The Waste Land - v3,EWBAITE,4.2
The Waste Land - v3 1,EWBAITE,4.2
This Is My Home 2002-10-06,The Green Years,4.2
Untouchable,The Green Years,4.2
Weezer Feel,The Green Years,4.2
Fall Together - v1,The Green Years,4.2
Untitled2,The Pacific Daydream Black Years,4.2
Two Broken Hearts 3 @132 -5,The Pacific Daydream Black Years,4.2
212 I Wish You Luck,The Green Years,4.19
Bender 18 verse lyrics @80 -1,The Pacific Daydream Black Years,4.19
14 What is This I Find,The Blue-Pinkerton Years,4.19
No Bars - v13,EWBAITE,4.19
The Rules Of Life - v23,EWBAITE,4.19
Why Did You Give Up,The Green Years,4.19
I Wish I Could Autotune My Face - v5,EWBAITE,4.19
One More Time 106,The Green Years,4.19
Does Anybody Love Anybody - v11 meet,The White Years,4.19
I'm Your Guy - acoustic demo,The White Years,4.19
Higgs Boson - v1,EWBAITE,4.19
Superfriend w/ AltB - SFTBH,The Blue-Pinkerton Years,4.18
23 My Mind's on You,The Blue-Pinkerton Years,4.18
Charlie Brown,EWBAITE,4.18
01 Christmas in L.A,Pre-Weezer,4.18
17 I'm Lonely on a Saturday Night,The Blue-Pinkerton Years,4.18
In Pieces,The Make Believe Years,4.18
134 rockin' groove spooky,EWBAITE,4.18
Why Won't You Love Me - v4 @ 130,The White Years,4.18
Simple To Me - v8 1,EWBAITE,4.18
Save Me - 2003 Demos 4,The Make Believe Years,4.18
Empty Nest - v5,EWBAITE,4.18
Second Best Hugger In The World - v8,EWBAITE,4.18
The Key To My Heart 2 AL @73,The Pacific Daydream Black Years,4.18
Cleopatra - v7,EWBAITE,4.18
Hole in Time 208,The Green Years,4.18
The British Are Coming - v41 Son Of Liberty,EWBAITE,4.18
I Can't Live,The Green Years,4.18
One Second of Weez - v3 instrumental,The White Years,4.18
Beethoven Sonata No. 26 in E-flat Major _Les Adieux_ 2022-10-16,Piano,4.18
High as a Kite AZ 4 verse chords @86 +5,The Pacific Daydream Black Years,4.18
31 The Ivory Telephone,The Blue-Pinkerton Years,4.17
Four Leaf Clover 8,EWBAITE,4.17
Don't Go Gentle - v1,EWBAITE,4.17
Take It Easy (With Rock Intro) - 2004-06-04,The Make Believe Years,4.17
Do You Really Want Me Down? (flange gtr at end) - 2004-05-18,The Make Believe Years,4.17
Please Don't Shake Me Down 6,The White Years,4.17
There's Good News And Bad News 4 n,The White Years,4.17
Do You Really Want Me Down? (My Brain) - 2004-04-23,The Make Believe Years,4.17
Homeless - 2,The Green Years,4.17
My Mind's On You - SFTV,The Blue-Pinkerton Years,4.17
Freak Flag - v5,EWBAITE,4.17
Inspired 7,EWBAITE,4.17
Alligator 3 @82,The Pacific Daydream Black Years,4.17
The British Are Coming - v47,EWBAITE,4.17
Shining Star 10,Weezma,4.17
Stronger (double chorus),The Red-Raditude-Hurley Years,4.17
Scotty's Pullover (tennis ball),Patrick & Rivers,4.17
You Can't Cope,The Green Years,4.17
It's Not the Same As It Was 14 bass & gtr @115 -1,The Pacific Daydream Black Years,4.17
Piece of Cake 9 @79 -3,The Pacific Daydream Black Years,4.17
Too Many Thoughts In My Head 5 @126 +4,The Pacific Daydream Black Years,4.17
Two Broken Hearts (2),The Pacific Daydream Black Years,4.17
Memphis - 2,The Green Years,4.17
Too Good For Me 3 point 2,The Blue-Pinkerton Years,4.16
Hulk 5 verse 2 @ 60.5,The Pacific Daydream Black Years,4.16
Sing My Blues Away - v14,EWBAITE,4.16
Alligator 2 AH @81,The Pacific Daydream Black Years,4.16
You Don't Have To Be Perfect For Me 3 @70,The Pacific Daydream Black Years,4.16
Bender 16 refined @79 -1,The Pacific Daydream Black Years,4.16
Rock And Roll Cockroach - Rough 1 Alt,EWBAITE,4.16
myBrain-oasis-intro-mp3,The Make Believe Years,4.16
Let's Get Mellow,The Green Years,4.16
"11 Oh No, This is Not For Me",The Blue-Pinkerton Years,4.15
Bless The World 3,EWBAITE,4.15
Perfect Situation - 2,The Make Believe Years,4.15
Pork and Beans (sped up a little more) 3,The Red-Raditude-Hurley Years,4.15
I'll Be With Someone Else - v2 1,EWBAITE,4.15
Save Me - 2003 Demos 4,The Make Believe Years,4.15
Sports Team - v7,EWBAITE,4.15
The Organ Player,The Green Years,4.15
20 The End of My String,The Blue-Pinkerton Years,4.14
10 Make Me A Pallet,Pre-Weezer,4.14
Untitled2_2016_2_26_15_6_31,The Pacific Daydream Black Years,4.14
She Makes Me Laugh - v2 @67 girl to,The White Years,4.14
Fair Weather Friend - v6,EWBAITE,4.14
11 Anything 4 You (Take 3),Pre-Weezer,4.14
I Admire You So Much,The Green Years,4.14
I Screwed It All Up,The Green Years,4.14
The Waste Land - v6,EWBAITE,4.14
High as a Kite AZ 3 second verse @85 +5,The Pacific Daydream Black Years,4.14
Sick Of All The Effort,The Green Years,4.14
The Tower Of Babel - v5,EWBAITE,4.14
You Think You're Bad,The Red-Raditude-Hurley Years,4.14
Anonymous - v14 2,EWBAITE,4.14
I Want To Take You Home Tonight - Edi 2,The Make Believe Years,4.14
Medicine 4,Weezma,4.14
Piece of Cake 8 @79 -3,The Pacific Daydream Black Years,4.14
Stop Comparing Me To Him 2 chorus first @78 -3 BF 11,The Pacific Daydream Black Years,4.14
2017-04-02Untitled8,The Pacific Daydream Black Years,4.13
Call The Police 7,Patrick & Rivers,4.13
Thief You've Taken All That Was Me,Patrick & Rivers,4.13
You Make Me Believe In God 7 @122,The White Years,4.13
Anonymous - v23,EWBAITE,4.13
Et Tu Brute - 2004-02-06,The Make Believe Years,4.13
The Unofficials - v3,EWBAITE,4.13
Why Am I Getting So Upset 11,EWBAITE,4.13
26 A Glorious Moment,The Blue-Pinkerton Years,4.12
The Best Thing In Life 13,EWBAITE,4.12
Inspired 10,EWBAITE,4.12
What You Wanna Be 6,EWBAITE,4.12
Adio,The Green Years,4.12
Simple Fisherman - 2004 Unchained Melody,The Make Believe Years,4.12
Guiding Light chorus,The White Years,4.12
Fanny Bone - v2,The Green Years,4.12
Do You Really Want Me Down? (My Brain) - 2004 Unchained Melody,The Make Believe Years,4.12
Losing My Mind (My Brain) - SIR Preproduct Rivers Chad,The Make Believe Years,4.12
56 Now you say you wanna leave me,The Green Years,4.12
No Contact - 2004-05-18,The Make Believe Years,4.12
Hawaii - v7,The White Years,4.12
You've Got To Let Go Of Me - 2003 Demos,The Make Believe Years,4.12
Rock And Roll Cockroach - Instrumental,EWBAITE,4.12
Any Friend of Diane's 10 verse tweaks @88,The Pacific Daydream Black Years,4.12
I Don't Want To Let You Go TP-ALTmm3,The Red-Raditude-Hurley Years,4.12
I Want To Take You Home Tonight - Edi 3,The Make Believe Years,4.12
Cleopatra - v22,EWBAITE,4.12
Everybody Needs Salvation - v2,EWBAITE,4.12
Fair Weather Friends - v5,EWBAITE,4.12
Superfan 18,Weezma,4.12
Up Yours,The Green Years,4.12
Why Won't You Love Me - v5 same chord,The White Years,4.12
Cleopatra - v23 - verse chords,EWBAITE,4.12
Hey Domingo,The Green Years,4.12
Possibilities - v1,The Green Years,4.12
crazy pulloff riff 2,EWBAITE,4.12
Two Broken Hearts 11 bein drums @132 -5,The Pacific Daydream Black Years,4.12
Moshikashitara_ Hot Girls 2.0,The Red-Raditude-Hurley Years,4.11
"I See You, Feel You - 2003-03-5",The Make Believe Years,4.11
Over The Mountain - 2004 Unchained Melody,The Make Believe Years,4.11
Friday Feeling 16 half choruses @104,The Pacific Daydream Black Years,4.11
Last Chance - 2004-07-20,The Make Believe Years,4.11
Simple To Me - v7,EWBAITE,4.11
Cleopatra - v12,EWBAITE,4.11
The Ivory Telephone - v4,EWBAITE,4.11
Empty Inside - v9,EWBAITE,4.11
Exonerate Me - v5,EWBAITE,4.11
i want to take u home mix4,The Green Years,4.11
Lover Lover,The Make Believe Years,4.11
"Beethoven Sonata No. 2 in A Minor, 3. Scherzo 4. Grazioso and Beethoven Sonata No. 3 in C Major, 1. Allegro (exposition)-03",Piano,4.11
I'll Be With Someone Else 3,EWBAITE,4.1
Bless The Whole World,EWBAITE,4.1
Hawaii - v6,The White Years,4.1
Pork and Beans (sped up a little) 2,The Red-Raditude-Hurley Years,4.1
Anonymous - v5,EWBAITE,4.1
St. George - v8,EWBAITE,4.1
She's Just A Girl - v4 @130,The White Years,4.1
Beethoven Sonata No. 28 in A Major 2022-10-19,Piano,4.1
The Damage In Your Heart - 2004-01-09,The Make Believe Years,4.1
Still Dreaming 6 instrumental @67 -6 to -3,The Pacific Daydream Black Years,4.1
The Rules Of Life - v22,EWBAITE,4.1
Exonerate Me - v4,EWBAITE,4.1
"Take It Easy (No Intro, Low Verse, Na Na Chorus) - 2004-05-18",The Make Believe Years,4.1
The Best of Me - v8,EWBAITE,4.1
Summer Elaine - v6 lyrics @118,The White Years,4.1
The Rules Of Life - v15,EWBAITE,4.1
Ain't Got Nobody - v20,EWBAITE,4.1
We Gotta Get Paid,EWBAITE,4.1
Buttafucco 374,The Green Years,4.1
Medicine 8,Weezma,4.1
Pissing In The Wind - v5,EWBAITE,4.1
A Heart Full Of Love - guitar sketch,EWBAITE,4.1
Almost Beautiful 20 pre @130 +2,The Pacific Daydream Black Years,4.1
My Folks,The Red-Raditude-Hurley Years,4.09
Anonymous - v6,EWBAITE,4.09
Expatriates In Paris 6,Weezma,4.09
Your Right Man,The Green Years,4.09
Jodi,The Green Years,4.09
Lullaby For Wayne,Patrick & Rivers,4.09
dictadroid1_2014_6_28_19_54_42,EWBAITE,4.09
Where Do All The Kids Hang Out 5 in B @85,The Pacific Daydream Black Years,4.08
16 Two to Tango,Pre-Weezer,4.08
Friday Feeling 6 thinned verse @102,The Pacific Daydream Black Years,4.08
What The Hell 1,Weezma,4.08
You Want To Be A Woman - 2003 Demos,The Make Believe Years,4.08
Guiding Light 5 verse @131 -1,The Pacific Daydream Black Years,4.08
The Rules Of Life - v5,EWBAITE,4.08
"Beethoven Sonata No. 24 in F-sharp Major, 1. Adagio and Beethoven Sonata No. 25 in G Major, 3. Vivace 2022-10-13",Piano,4.08
Meet Up With Our Maker - v7,EWBAITE,4.08
Anonymous - v12,EWBAITE,4.08
Codependent - v11 slower,EWBAITE,4.08
Meet Up With Our Maker - v4,EWBAITE,4.08
The Best of Me - v14 crazy str,EWBAITE,4.08
Well It's A New Day - 2,The Green Years,4.08
Almost Beautiful 23 cha cha @137 +2,The Pacific Daydream Black Years,4.08
If It's Only In Your Head 15 new lyrics @160 +2,The Pacific Daydream Black Years,4.08
The Best of Me 15 normal,EWBAITE,4.07
I Won't Let You Down 8,EWBAITE,4.07
Stand Up (Minor Outstanding) - 2004-06-04,The Make Believe Years,4.07
Beautiful Lies 4 no drums @64,The Pacific Daydream Black Years,4.07
Bone On Bone 5,EWBAITE,4.07
You'll Never Break Me - 2004-04-23,The Make Believe Years,4.07
Friday Feeling 14 I ii I V verse @104,The Pacific Daydream Black Years,4.07
The Best of Me - v9,EWBAITE,4.07
A Glorious Moment,The Blue-Pinkerton Years,4.07
spirit_animal_2015_2_15_11_37_28,The White Years,4.07
"Beethoven Sonata No. 10 in G Major, 2. Andante 3. Scherzo-18",Piano,4.07
Is This What They Call Love 1 @135 +4,The Pacific Daydream Black Years,4.07
You Were Right here All Along 4,EWBAITE,4.07
The British Are Coming - v42 - vBurning My Books,EWBAITE,4.07
Fair Weather Friend - v7,EWBAITE,4.07
I Was Scared - 2003 Demos,The Make Believe Years,4.07
Such A Long Way To Heaven 11,EWBAITE,4.07
The Gift Of Gab - v10,EWBAITE,4.07
Let It All Hang Out - 2,The Green Years,4.07
The Tower Of Babel - v7 1,EWBAITE,4.06
You Got Me,The Green Years,4.06
QB Blitz 1 @100,The Pacific Daydream Black Years,4.06
Where Is My Protector - Rough 2 Instrumental Nov 10,EWBAITE,4.06
"Beethoven Sonata No. 3 in C Major, 3. Scherzo 4. Allegro and Beethoven Sonata No. 4 in E-flat Major, 1. Allegro-05",Piano,4.06
I Wanna Be With You - 2004-02-02,The Make Believe Years,4.06
05 Beautiful Baby,The Green Years,4.06
Daddy's Girl - 2,The Green Years,4.06
Sugar Cookie - v1,The Green Years,4.06
The Best Of Me - v6,EWBAITE,4.06
You Could Take Me Anywhere 8,The White Years,4.06
Bless The Whole Wide World - v10,EWBAITE,4.06
The Tower of Babel - v4,EWBAITE,4.06
Meet Up With My Maker - v3,EWBAITE,4.06
Subjective 2 take out so,Weezma,4.06
Sugar Daddies (Rick version) - 2002-10-15,The Green Years,4.06
Superman - Monterey Jack,The Blue-Pinkerton Years,4.05
Clearer Eyes - 2003 Demos,The Make Believe Years,4.05
All I Need To Know - 2004-02-20,The Make Believe Years,4.05
No Bars - v3,EWBAITE,4.05
So You Sense It's A Sad Situation,The Green Years,4.05
Let's Keep It Platonic 2,The White Years,4.05
Robot Man - v2,The Green Years,4.05
Ain't Got Nobody - v18,EWBAITE,4.05
Wagamama - v1,EWBAITE,4.05
Beethoven Sonata No. 1 in F Minor 2022-10-29,Piano,4.04
hummingbird 4 @63,The Pacific Daydream Black Years,4.04
Ever Again 2004-02-12 - 2004-02-13,The Make Believe Years,4.04
I Won't Flake On You - v5,EWBAITE,4.04
The Crazy Impossible Days - v4,The White Years,4.04
Quick Picture 10,EWBAITE,4.03
When You're Alone - Don Slacks,The Blue-Pinkerton Years,4.03
Sweet Peepers - Monterey Jack,The Blue-Pinkerton Years,4.03
Almost Beautiful 3 Happy Now @125,The Pacific Daydream Black Years,4.03
Freak Flag - v8,EWBAITE,4.03
Good Times 5 verses @102,The White Years,4.03
Victory (I Don't Want Your Lovin'),The Make Believe Years,4.03
Friday Feeling 25 fits @100,The Pacific Daydream Black Years,4.03
Love Me - v4,EWBAITE,4.03
Hot Little Tramp,The Red-Raditude-Hurley Years,4.02
If You Want Me Tell Me So 2,The Pacific Daydream Black Years,4.02
Let's Get Married 2013,EWBAITE,4.02
Loveable Loser 4 all ideas @100,The Pacific Daydream Black Years,4.02
07 Little Bag,Pre-Weezer,4.02
Bender 17 drop @79 -1,The Pacific Daydream Black Years,4
The Ivory Telephone - v5,EWBAITE,4
Wayne,The Pacific Daydream Black Years,4
02 Heart Songs,The Red-Raditude-Hurley Years,4
The Ivory Telephone - v7,EWBAITE,4
Too Many Thoughts In My Head - v2,EWBAITE,4
My Brain is Workin' Overtime (piano),The Red-Raditude-Hurley Years,4
I Want To Be Something,The Red-Raditude-Hurley Years,4
Maladroit Preview 2021-12-27 14.38,The Green Years,4
The British Are Coming - v30,EWBAITE,4
72 Nothing Matters in the World,The Green Years,4
Friday Feeling 3 @101,The Pacific Daydream Black Years,4
Gimme Something - 2,The Green Years,4
Preview Pacific Daydream bundle 2021-10-18 08.54-3,The Pacific Daydream Black Years,4
Sweet Love 2 2,The Red-Raditude-Hurley Years,4
dictadroid1_2015_1_30_12_38_23,The White Years,4
Girl's Soccer,The Green Years,4
Yahoo - 2004-02-05,The Make Believe Years,4
These things that you do (revised),The Red-Raditude-Hurley Years,4
Simple To Me - v7 chorus @99 +1 actually 11 ish,EWBAITE,4
Clearer Eyes (Love Is An Illusion) - 2003 Demos,The Make Believe Years,4
Freak Flag - v6,EWBAITE,4
Hole in Time - 208,The Green Years,4
Message Board,The Green Years,4
I'll Swallow Poison On Sunday 1 @97 -2,The Pacific Daydream Black Years,4
"Beethoven Sonata No. 14 in C-sharp Minor, 2. Allegretto 3. Presto-26",Piano,4
"Beethoven Sonata No. 23 in F Minor, 1. Allegro 2022-08-12",Piano,4
17 Spider Bitch,Pre-Weezer,4
Untitled2,The White Years,4
sad skippyjon jones 1,EWBAITE,4
"Beethoven Sonata No. 21 in C Major, 3. Allegretto 2022-10-05",Piano,4
"Beethoven Sonata No. 32 in C Minor, 2. Adagio and Beethoven Sonata No. 1 in F Minor, 1. Allegro 2022-08-30",Piano,4
Beethoven Sonata No. 5 in C Minor-08,Piano,4
31 Disco Queen (Piano),The Green Years,4
Ghost 2 @125 melody,The White Years,4
Beethoven Sonata No. 28 in A Major 2022-08-18,Piano,4
"Beethoven Sonata No. 3 in C Major, 1. Allegro 2. Adagio-04",Piano,4
Gravity Will Bring You Down - v12,EWBAITE,4
Cleopatra - v14,EWBAITE,4
Expatriates In Paris 1,Weezma,4
The British Are Coming - v36,EWBAITE,4
Happy Robot - 2004-06-04,The Make Believe Years,4
WHERE IS MY PROTECTOR - ROUGH 2(novc,EWBAITE,4
Freak Me Out - 2004-07-20,The Make Believe Years,4
I'll Be With Someone Else - v2 2,EWBAITE,4
Let's Get Married - v3,EWBAITE,4
Now Or Later,The Red-Raditude-Hurley Years,4
You're Beautiful To me 14,The White Years,4
Foolish Father Coda - 2014-7-18,EWBAITE,4
"Beethoven Sonata No. 2 in A Minor, 1. Allegro 2. Largo-01",Piano,4
Beethoven Sonata No. 30 in E Major 2022-08-24,Piano,4
I Was Scared - 2004-02-20,The Make Believe Years,4
President of The United States,Patrick & Rivers,4
The British Are Coming - v1,EWBAITE,4
June Bride 16,The White Years,4
Memphis,The Green Years,4
o holy night PW demo,Patrick & Rivers,4
Second Best Hugger In The World - v9,EWBAITE,4
Why Won't You Love Me 14 drumless @67,The White Years,4
Hold On,The Green Years,4
May Your Life Be Blessed v2,The Green Years,4
Simple Fisherman - 2004-01-09,The Make Believe Years,4
Too Many Thoughts In My Head @120 +3,The Pacific Daydream Black Years,4
Gravity Will Bring You Down - v6,EWBAITE,4
Simple To Me - v6,EWBAITE,4
Anonymous - v14,EWBAITE,4
Cleopatra - v21,EWBAITE,4
